title,description,News Feed,Extraction Date,
O'Sullivan leads Selby 5-3 in final,Ronnie O'Sullivan goes into Sunday night's second session of the World Snooker final with a 5-3 lead over Mark Selby.,BBC,5/4/2014,
O'Sullivan leads Selby in world final,Ronnie O'Sullivan edges closer to a sixth World Snooker crown as he takes a 10-7 overnight lead against Mark Selby.,BBC,5/4/2014,
Pollutants 'affect breeding birds',"Wild birds nesting along urban rivers in south Wales are being affected by harmful pollutants, research suggests.",BBC,5/4/2014,
Portugal needs no more loans - PM,Portugal's prime minister says the country will exit its three-year bailout this month without needing an emergency line of credit.,BBC,5/4/2014,
Prayers offered for murdered teacher,Prayers are being said across West Yorkshire for teacher Ann Maguire who was stabbed to death at her school in Leeds last week.,BBC,5/4/2014,
Prayers offered for stabbed teacher,Prayers are being said across West Yorkshire for teacher Ann Maguire who was stabbed to death at her school in Leeds last week.,BBC,5/4/2014,
Prayers offered for stabbed teacher,Prayers have been said across West Yorkshire for teacher Ann Maguire who was stabbed to death at her school in Leeds last week.,BBC,5/4/2014,
Referee punched at football match,A referee is hospitalised after allegedly being punched by a player during a football match in Devon.,BBC,5/4/2014,
Referee punched at football match,A referee is hospitalised after being punched by a player during a football match in Devon.,BBC,5/4/2014,
S Sudan forces in Bentiu offensive,"Government forces in South Sudan launch an offensive to try to recapture the oil town of Bentiu, several weeks after it was seized by rebels.",BBC,5/4/2014,
Senna's two-bedroom Norwich bungalow,How the late racing great came to live on the edge of Norwich,BBC,5/4/2014,
Sinn Féin 'blackmailing' NI police,"Northern Ireland's First Minister Peter Robinson accuses Sinn Fein of a ""thuggish attempt to blackmail the PSNI"" over the arrest of Gerry Adams.",BBC,5/4/2014,
'Skull Cracker' convict on the run,"A violent armed robber dubbed ""the Skull Cracker"" goes missing after being allowed out of an open prison.",BBC,5/4/2014,
South Korea ferry capsize toll rises,"The confirmed death toll from the South Korea ferry disaster reaches 244, as President Park promises punishment for those responsible.",BBC,5/4/2014,
Sunday Herald 'Yes' move 'no surprise',Sunday Herald is a rare friend in press on independence,BBC,5/4/2014,
Superb Khan easily outpoints Collazo,Britain's Amir Khan easily outpoints Luis Collazo in his welterweight debut in Las Vegas.,BBC,5/4/2014,
Teacher death message man charged,A 21-year-old man from Leeds is charged with malicious communication following the stabbing to death of teacher Ann Maguire.,BBC,5/4/2014,
The strange demands of life as a cheerleader,The trials and tribulations of making it as a cheerleader,BBC,5/4/2014,
Thousands gather for knob throwing,"More than 5,000 people attend a ""knob throwing"" competition in Dorset, where biscuit lobbers compete to be champion chucker.",BBC,5/4/2014,
Thousands gather for knob throwing,"More than 5,000 people attend a ""knob throwing"" competition in Dorset in the hope of seeing the 100ft mark finally broken.",BBC,5/4/2014,
Thrill-seekers soaked on giant slide,"A giant water slide is installed in the centre of Bristol, with 300 people taking turns to hurtle down it on lilos.",BBC,5/4/2014,
Timing of arrest wrong says Adams,Sinn Féin leader Gerry Adams criticises Northern Ireland police for arresting him over the 1972 murder of Jean McConville in the middle of an election campaign.,BBC,5/4/2014,
Tory quits over anti-Islamic tweets,A Conservative council candidate resigns from the party and apologises for posting anti-Islamic and homophobic comments on Twitter.,BBC,5/4/2014,
UKIP 'to highlight black candidates',Nigel Farage vows to launch a fight back against claims he is leading a racist party.,BBC,5/4/2014,
Ukraine PM blames Odessa police,Ukraine's PM blames the nation's security services for failing to stop violence in the southern city of Odessa that left more than 40 dead.,BBC,5/4/2014,
US acrobats injured in circus fall,"Eleven people have been injured, one critically, after female acrobats fell from an aerial platform at a circus in the US state of Rhode Island.",BBC,5/4/2014,
"VIDEO: 100,000 attend ANC election rally","More than 100,000 people have attended a rally for the ANC in Johannesburg ahead of Wednesday's elections.",BBC,5/4/2014,
VIDEO: Angry protests after Odessa fire,Tensions remain high in many parts of Ukraine following the deaths of at least 42 people in clashes on Friday.,BBC,5/4/2014,
VIDEO: Artist's view of Bristol water slide,"A giant water slide has been installed in the centre of Bristol, with 300 people taking turns to hurtle down it on lilos.",BBC,5/4/2014,
VIDEO: Chinese Christians fear crackdown,"Christians in the south eastern city of Wenzhou are warning of a crackdown on their faith, following the destruction of one church and warnings to others.",BBC,5/4/2014,
VIDEO: Communist symbols to be banned,"The government of Georgia is introducing new measures to ban symbols of its totalitarian past, including statues of the former Soviet leader, and native Georgian, Joseph Stalin.",BBC,5/4/2014,
VIDEO: 'Difficult days' for McConville family,"The arrest of Gerry Adams over the death of Jean McConville has been ""difficult"" for the family of the murdered mother of 10, her son says.",BBC,5/4/2014,
VIDEO: Football fans clash in Rome,"Three Napoli football fans were injured by gunfire in Rome before the Italian cup final between Napoli and Fiorentina, Italian media report.",BBC,5/4/2014,
VIDEO: Gerry Adams released from custody,Sinn Féin leader Gerry Adams has been released from custody and a file will be sent to the Public Prosecution Service in Northern Ireland.,BBC,5/4/2014,
VIDEO: Headcam view of Bristol waterslide,"A giant water slide has been installed in the centre of Bristol, with 300 people taking turns to hurtle down it on lilos.",BBC,5/4/2014,
VIDEO: India's beef industry under threat,Shilpa Kannan reports on India's booming beef industry - under threat of closure if the BJP Party win the national election.,BBC,5/4/2014,
VIDEO: Nigeria security fears ahead of WEF,The Nigerian government is under pressure to tackle unrest days before a World Economic Forum event in the capital.,BBC,5/4/2014,
VIDEO: Obama: 'You will miss me when I am gone',President Barack Obama attended the White House Correspondent Association dinner in Washington.,BBC,5/4/2014,
VIDEO: Plaid leader on Welsh independence,"The leader of Plaid Cymru, Leanne Wood, has said she is ""very confident"" Wales will achieve independence in her lifetime.",BBC,5/4/2014,
VIDEO: Reducing sugar for a week,"A family of four try to go without sugar for a week, as a BBC poll shows two thirds of people support a ban on sugary drinks in all UK schools and academies.",BBC,5/4/2014,
VIDEO: Repairing flood-damaged river banks,The BBC's Nick Beake reports on work to repair a flood damaged stretch of the River Mole in Surrey.,BBC,5/4/2014,
VIDEO: South Sudan troops seize Bentiu,Government forces appear to have taken control of the rebel-held town of Bentiu after opening fire on the enemy positions.,BBC,5/4/2014,
VIDEO: Thousands race up Taiwan skyscraper,"Thousands of runners have taken on 2,046 steps to get to the top of Taiwan's tallest skyscraper.",BBC,5/4/2014,
VIDEO: Ukraine: Odessa tension 'escalating',"The unrest in the southern Ukrainian city of Odessa is escalating, with an attack on police headquarters following more than 40 deaths in clashes on Friday.",BBC,5/4/2014,
VIDEO: Welby: UK 'deeply Christian country',"The Archbishop of Canterbury, Justin Welby, has defended the Church of England's role in educating children, insisting that even though relatively few people attend church, Anglican schools are consistently popular.",BBC,5/4/2014,
Woman and child hurt in police crash,A mother and her five-year-old daughter are injured in a crash with a police car which was pursuing another vehicle in Essex.,BBC,5/4/2014,
Woman arrested after man is stabbed,"A 26-year-old woman is questioned after a man is stabbed in the back during an assault in Coleraine, County Londonderry.",BBC,5/4/2014,
Woman hit by police car 'critical',"A woman who was hit by an unmarked police car in London is in a critical condition in hospital, Scotland Yard says.",BBC,5/4/2014,
Woman hit by unmarked police car,A 22-year-old woman is seriously injured when she is hit by an unmarked police car in London.,BBC,5/4/2014,
Woman reported to fiscal over deaths,A woman is reported to the procurator fiscal in connection with the deaths of a mother and daughter in Greenock.,BBC,5/4/2014,
Would a Greater Birmingham work?,Does the West Midlands need re-branding?,BBC,5/4/2014,
11 hurt in circus accident,"Nine Ringling Bros. and Barnum and Bailey circus performers were among 11 people injured in Providence, Rhode Island, after a device that dangled them from their hair failed, a circus spokesman says.",CNN,5/4/2014,
20 years at the Derby,"Through everything in John McGraw's life during the past two decades, there has been one constant: He knows he will be in the infield of Churchill Downs on the first Saturday in May.",CNN,5/4/2014,
7 fascinating cities of destruction,The world tends to celebrate the ingenuity and strength of great civilizations that have flourished by successfully subduing nature.,CNN,5/4/2014,
Accident caught on tape ,"Several acrobats were injured after a device used in their act failed, according to a circus spokesman.",CNN,5/4/2014,
An accomplice to her brother's suicide,"Funny, happy people do not kill themselves. It doesn't make sense.",CNN,5/4/2014,
An end to airline armrest wrestling?,"I'm not a violent man. Short, self-doubting gingers tend not to be the fiercest of creatures.",CNN,5/4/2014,
